DateTime,u10,v10,WVHT
2019-01-01 00:00,3.048406,-2.101060,1.260000
2019-01-01 01:00,2.385077,-2.524526,1.340000
2019-01-01 02:00,0.421511,-2.810036,1.240000
2019-01-01 03:00,-1.916586,-2.377359,1.170000
2019-01-01 05:00,-3.794503,-2.137126,0.860000
2019-01-01 06:00,-3.243988,-3.198207,0.870000
2019-01-01 07:00,-3.277587,-4.428852,1.030000
2019-01-01 08:00,-3.473001,-5.470143,1.060000
2019-01-01 09:00,-3.634431,-5.777513,0.930000
2019-01-01 10:00,-2.198396,-4.426943,0.930000
2019-01-01 11:00,-2.045390,-4.411849,0.890000
2019-01-01 12:00,-1.675000,-4.215106,0.920000
2019-01-01 13:00,-1.533724,-4.720976,0.790000
2019-01-01 14:00,-1.355508,-4.460223,0.820000
2019-01-01 15:00,-1.505566,-4.805357,0.880000
2019-01-01 16:00,-1.785712,-5.264598,0.880000
2019-01-01 17:00,-1.767797,-5.656402,0.840000
2019-01-01 18:00,-2.985690,-5.340182,0.800000
2019-01-01 19:00,-3.966024,-3.666220,0.940000
2019-01-01 20:00,-3.484725,-3.175713,0.780000
2019-01-01 21:00,-2.964561,-3.367224,0.880000
2019-01-01 22:00,-0.362068,-6.408221,1.050000
2019-01-01 23:00,-0.992537,-5.775417,1.400000
2019-01-02 00:00,-0.931304,-4.516314,1.200000
2019-01-02 01:00,-0.911045,-3.277619,1.330000
2019-01-02 02:00,-0.815254,-2.901477,1.190000
2019-01-02 03:00,-0.817182,-2.940232,1.090000
2019-01-02 04:00,-0.962411,-3.059692,1.020000
2019-01-02 05:00,-0.760812,-3.308344,0.910000
2019-01-02 06:00,-0.655127,-3.396097,0.880000
2019-01-02 07:00,-0.854540,-3.423738,0.710000
2019-01-02 08:00,-1.056065,-3.413862,0.740000
2019-01-02 09:00,-0.907372,-3.381598,0.650000
2019-01-02 10:00,-0.757304,-2.878568,0.620000
2019-01-02 11:00,-0.427355,-3.101933,0.570000
2019-01-02 12:00,0.139803,-2.946088,0.570000
2019-01-02 21:00,1.274103,-0.034925,0.480000
2019-01-02 22:00,2.232598,1.504455,0.490000
2019-01-02 23:00,2.725524,1.083294,0.520000
2019-01-03 00:00,2.620193,0.920795,0.440000
2019-01-03 01:00,2.345292,0.484905,0.480000
2019-01-03 03:00,1.590531,-0.207767,0.530000
